1987;98;Under the Sun of Satan;Drama;45
1985;105;Vagabond;Drama;49
1993;60;Bill Cosby, Live at Harrah's;Comedy;13
1974;89;Monty Python & the Holy Grail;Comedy;83
1993;65;John Cleese on How to Irritate People;Comedy;62
1958;101;Matchmaker, The;Comedy;67
1981;129;For Your Eyes Only;Action;86
1928;139;Wings;War;44
1992;106;Medicine Man;Action;6
1985;119;Kiss of the Spider Woman;Drama;10
1990;121;Rookie, THe;Action;48
1973;129;Sting, The;Drama;83
1958;96;Torpedo Run;War;50
1986;101;Instant Justice;Drama;45
1990;135;Cyrano de Bergerac;Drama;76
1948;110;Border Street;Drama;73
1987;91;Firehouse;Comedy;66
1965;123;Morituri;Drama;9
1980;104;From the Life of the Marionettes;Drama;58
1988;120;Frantic;Mystery;17
1978;114;Coma;Science Fiction;64
1988;117;Dead Ringers;Drama;29
1988;90;Golden Ninja Invasion;Action;13
1973;122;Exorcist, The;Horror;28
1975;112;Alice Doesn't Live Here Anymore;Comedy;82
1982;94;Eyes of the Amaryllis, The;Drama;70
1952;109;What Price Glory?;War;4
1954;40;Inauguration of the Pleasure Dome;Short;62
1989;114;School Daze;Comedy;18
1990;102;End of Innocence, The;Drama;6
1971;98;Anderson Tapes, The;Mystery;1
1983;50;Father Murphy, A Horse from Heaven;Comedy;28
1989;80;Skull;Drama;19
1987;91;Quick & The Dead, The;Western;40
1984;94;Best Defense;Comedy;75
1984;99;Dreamscape;Science Fiction;63
1989;125;Black Rain;Action;73
1935;64;One Frightened Night;Horror;33
1988;103;Year My Voice Broke, The;Drama;71
1966;175;Is Paris Burning?;War;63
1974;313;QB VII;Drama;28
1977;104;Island of Dr. Moreau, The;Horror;54
1983;104;Beyond the Limit;Drama;51
1936;84;Secret Agent;Mystery;50
1986;71;Paramount Comedy Theater: Well-Developed;Comedy;40
1972;71;Big Bust Out, The;Action;50
1987;119;Fourth Protocol, The;Mystery;14
1990;107;Gremlins 2: The New Batch;Comedy;61
1982;92;Fast Times at Ridgemont High;Comedy;65
1977;91;Rabid;Horror;34
1989;90;Vampire Raiders, Ninja Queen;Action;15
1970;26;Bloopers from Star Trek;Comedy;22
1943;99;Destroyer;Action;87
1992;99;Party Girl;Comedy;85
1989;113;Twin Peaks;Mystery;86
1987;103;Moonstruck;Comedy;6
1987;119;Witches of Eastwick, The;Comedy;8
1979;128;Moonraker;Action;32
1984;106;Beat Street;Drama;72
1986;88;Running Out of Luck;Comedy;16
1989;90;Never on Tuesday;Drama;77
